id,date,region,product_id,customer_id,quantity,amount
1,2026-02-09T00:00:00,West,16,391,10,5067.01
2,2025-05-27T00:00:00,West,15,481,12,5815.37
3,2025-05-02T00:00:00,South,14,271,11,5573.16
4,2026-04-23T00:00:00,North,19,306,14,4119.9
5,2026-03-11T00:00:00,West,22,401,13,1921.12
6,2025-07-19T00:00:00,North,10,400,7,2075.87
7,2025-10-26T00:00:00,North,16,83,7,3560.34
8,2026-03-26T00:00:00,West,21,327,9,3832.91
9,2026-01-18T00:00:00,South,13,438,15,1334.4
10,2026-04-07T00:00:00,West,3,233,6,2239.33
11,2026-02-17T00:00:00,West,9,366,8,2360.59
12,2026-04-02T00:00:00,South,14,79,9,3775.25
13,2025-04-23T00:00:00,North,16,70,10,4014.3
14,2025-04-22T00:00:00,East,22,273,14,2946.26
15,2026-04-14T00:00:00,South,16,357,10,5116.43
16,2026-01-27T00:00:00,South,25,279,13,3739.88
17,2026-03-14T00:00:00,West,16,260,8,2363.39
18,2025-09-04T00:00:00,West,20,135,9,1785.01
19,2026-01-05T00:00:00,South,3,103,9,3049.58
20,2025-07-22T00:00:00,North,7,57,12,4114.71
21,2026-01-27T00:00:00,North,23,181,6,2186.3
22,2025-09-14T00:00:00,North,5,268,13,3509.23
23,2026-02-13T00:00:00,East,11,161,15,5895.41
24,2025-08-27T00:00:00,East,11,190,14,4985.76
25,2025-12-31T00:00:00,South,18,407,15,4238.13
26,2025-08-25T00:00:00,North,22,143,10,1735.17
27,2025-07-08T00:00:00,West,22,9,8,1689.12
28,2026-03-26T00:00:00,North,15,292,6,2927.59
29,2025-08-25T00:00:00,South,1,477,23,2445.11
30,2025-12-27T00:00:00,North,17,411,9,3492.23
31,2025-08-12T00:00:00,East,1,230,19,1777.68
32,2025-03-08T00:00:00,South,16,428,7,2983.01
33,2025-03-27T00:00:00,South,22,79,9,1625.9
34,2025-05-23T00:00:00,East,7,204,5,1737.46
35,2025-06-25T00:00:00,South,6,368,10,2484.48
36,2025-08-04T00:00:00,West,20,192,14,3504.51
37,2025-07-07T00:00:00,South,12,52,7,1581.19
38,2025-04-11T00:00:00,South,15,136,5,2425.1
39,2026-01-19T00:00:00,South,15,262,14,6150.46
40,2026-03-19T00:00:00,East,25,403,11,3352.7
41,2026-02-14T00:00:00,East,19,459,10,3138.59
42,2026-03-06T00:00:00,West,15,293,7,2701.09
43,2026-01-05T00:00:00,North,11,120,13,5245.93
44,2026-03-17T00:00:00,West,1,190,20,1628.87
45,2026-02-28T00:00:00,West,3,402,7,2909.6
46,2026-03-16T00:00:00,East,1,324,16,1731.47
47,2026-04-17T00:00:00,East,1,472,17,1961.2
48,2025-12-09T00:00:00,North,14,140,5,2479.02
49,2025-02-19T00:00:00,West,5,259,11,2329.09
50,2025-05-18T00:00:00,North,17,345,6,2642.73
51,2025-03-30T00:00:00,South,5,337,5,1287
52,2025-06-27T00:00:00,East,12,25,8,1964.26
53,2025-02-21T00:00:00,North,22,428,6,1331.81
54,2025-11-30T00:00:00,East,10,401,6,1644.78
55,2026-04-14T00:00:00,North,19,84,12,3726.87
56,2026-02-20T00:00:00,South,15,206,10,3836.28
57,2026-03-26T00:00:00,North,21,241,6,2460.22
58,2026-01-02T00:00:00,East,6,359,5,1297.23
59,2026-03-07T00:00:00,West,18,367,8,1529.06
60,2026-01-05T00:00:00,West,13,483,18,1255.67
61,2025-11-26T00:00:00,North,25,393,6,1614.6
62,2026-03-26T00:00:00,South,25,52,14,4119.77
63,2026-04-07T00:00:00,West,9,238,15,4270.27
64,2026-04-05T00:00:00,South,6,401,12,2999.65
65,2026-04-16T00:00:00,West,9,459,6,1765.2
66,2026-01-08T00:00:00,East,8,443,13,2783.2
67,2026-03-11T00:00:00,North,14,333,10,4329.69
68,2026-04-22T00:00:00,North,7,333,9,3836.87
69,2026-04-28T00:00:00,East,3,148,12,5035.61
